file_name,company_name,Sub-campaign,country,objectif,channel,budget,impressions,eCPM,clicks,CTR(%),reach,engagement,CPE,CPC,CPV,CPV Objective,CPV +1,Video views,VTR(%),CPCV,Visits,Visit +1,Open lead,Lead,CPL ,CPL Objective,Visit to Store,CPSV
GMD_Report_LaMarquise-W15-JE,La Marquise,,uae,consideration,display,2530.00,2528140,1,1938,0.0766571471516609,,,,1.31,,,,,,,,,,,,,,
GMD_Report_LaMarquise-W15-JE,La Marquise,,uae,consideration/branding,instagram,2890.00,192432,,4878,2.53492142678972,100540,7530,0.38,0.59,,,,,,,,,,,,,,
GMD_Report_Insignia_St Regis_2018-W29-Final,St Regis,,uae,consideration,display,4260.00,4843214,0.88,21076,0.435165573934994,,,,0.20,,,,,,,,,,,,,,
GMD_Report_Insignia_St Regis_2018-W29-Final,St Regis,,uae,consideration,social,2736.00,2080233,1.32,24817,1.19299136202531,570241,,,0.11,,,,,,,,,,,,,,
GMD_Report_Insignia_St Regis_2018-W29-Final,St Regis,,uae,consideration,inread,991.00,150609,6.58,1981,1.31532644131493,,,,0.50,,,,47418,31,0.02,,,,,,,,
GMD_Report_Tim Hortons_20221230,Tim Hortons,,ksa,consideration,social,8000.00,4294637,1.86,6099,0.142014330896884,,,,1.31,,,,,,,,,,,,,,
GMD_Report_ABBOTT_KSA_202200411,Abbott,,ksa,consideration,display,748.79,374396,2.00,941,0.251338155322172,,,,0.8,,,,,,,,,,,,,,
GMD_Report_PrivateIWD_20230316,PrivateIWD,,uae,consideration,display,3958.00,4981090,0.79,6881,0.138142454763917,,,,0.58,,,,,,,,,,,,,,
GMD_Report_PrivateIWD_20230316,PrivateIWD,,uae,branding,video,1041.00,277355,3.75,859,0.309711380721458,,,,1.21,,,,210822,76.01,0.005,,,,,,,,
GMD_Report_Deerfields_Mask_20220509,Deerfields,,uae,consideration,display,735.00,490090,1.50,622,0.126915464506519,,,,,,,,,,,,,,,,,,
GMD_Report_Chivas_20220530,Chivas,,uae,consideration,display,4526.00,3017783,1.50,6352,0.210485644594061,,,,0.71,,,,,,,,,,,,,,
GMD_Report_Al Tayer_LincolnPOCSale_20210502,POC Sale,,uae,consideration,display,1550.00,1673594,0.93,1653,0.0987694745559556,,,,,,,,,,,,,,,,,,
GMD_Report_KyowaKirin_20220613,Kyowa Kirin,,ksa,branding,linkedin,1909.16,39557,48.26,261,0.659807366584928,12950,,,7.31,,,,,,,,,,,,,,
GMD_Report_KyowaKirin_20220614,Kyowa Kirin,,uae,branding,linkedin,1498.32,31507,47.56,212,0.672866347160948,13584,,,7.07,,,,,,,,,,,,,,
GMD_Report_KyowaKirin_20220615,Kyowa Kirin,,kwt,branding,linkedin,400.00,8263,48.41,58,0.701924240590585,1401,,,6.9,,,,,,,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 1,uae,branding,youtube,4889.95,1063142,4.60,3759,0.353574593045896,,,,,,,,205578,19,0.021,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 1,ksa,branding,youtube,8951.46,2530485,3.54,19213,0.759261564482698,,,,,,,,384348,15,0.019,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 1,gcc,branding,youtube,2985.57,919004,3.25,9624,1.04722068674347,,,,,,,,169933,18,0.015,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 2,uae,branding,youtube,3771.77,364303,10.35,885,0.242929649220566,,,,,,,,112137,31,0.018,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 2,ksa,branding,youtube,7243.28,510183,14.20,1531,0.300088399652674,,,,,,,,163054,32,0.023,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 2,gcc,branding,youtube,2134.39,318882,6.69,1010,0.316731580960982,,,,,,,,73905,23,0.015,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 3,uae,branding,youtube,3568.83,297238,12.01,725,0.243912285777727,,,,,,,,45609,15,0.018,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 3,ksa,branding,youtube,6877.47,546916,12.57,2114,0.386531021217152,,,,,,,,72612,13,0.019,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 3,gcc,branding,youtube,1949.41,190436,10.24,600,0.315066479027075,,,,,,,,22478,12,0.019,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 4,uae,branding,youtube,2775.79,334220,8.31,642,0.192089043145234,,,,,,,,100869,35,0.017,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 4,ksa,branding,youtube,6278.53,630044,9.97,1469,0.233158319101523,,,,,,,,215532,39,0.018,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Episode 4,gcc,branding,youtube,1035.91,110391,9.38,242,0.219220769809133,,,,,,,,34511,36,0.018,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Cuir Intense,uae,branding,youtube,1517.39,77841,19.49,247,0.317313498028032,,,,,,,,41061,58,0.037,,,,,,,,
GMD_Report_Guerlain_2019_W25,Guerlain,Cuir Intense,ksa,branding,youtube,1518.21,78288,19.39,240,0.306560392397302,,,,,,,,45528,64,0.033,,,,,,,,
GMD_Report_Dubai London Clinic_MBC Awards_UAE_2018_W32-Final,Dubai London Clinic,MBC Awards,uae,consideration,display,3500.27,1500252,2.33,1180,0.0786534528865817,,,,,,,,,,,,,,,,,,
GMD_Report_Dubai London Clinic_MBC Awards_UAE_2018_W32-Final,Dubai London Clinic,MBC Awards,uae,consideration,facebook,3000.00,651476,4.60,5822,0.893663005237338,142760,,,0.52,,,,,,,,,,,,,,
GMD_Report_Tim Hortons_20230126,Tim Hortons,,ksa,consideration/branding,display,10001.60,5738949,1.74,15320,0.266947833131119,,,,0.65,,,,,,,14265,,,,,,,
GMD_Report_Aswaaq_RamadanBooklet2_20220425,Aswaaq,Ramadan booklet,uae,consideration,display,2722.90,827515,3.29,2421,0.292562672579953,,,,1.12,4.79,1.5,,,,,568,,17,,,,,
GMD_Report_Aswaaq_RamadanBooklet2_20220425,Aswaaq,Ramadan booklet,uae,consideration,facebook,2722.94,738861,3.69,4910,0.664536360695719,251072,2610,,0.55,1.5,1.5,,,,,1811,,211,21,,,,
GMD_Report_Aswaaq_GreatDeals_20220704,Aswaaq,Great deals,uae,consideration,facebook,2722.94,495208,5.50,3116,0.629230545548537,170876,2151,,0.87,1.48,1.5,,,,,1841,,236,27,,,,
GMD_Report_Apparel_Skechers_2017-W48,Skechers,,uae,consideration,display,1500.00,3457340,0.43,4380,0.12668699057657,,,,0.34,,,,,,,,,,,,,,
GMD_Report_Apparel_Skechers_2017-W48,Skechers,,uae,consideration,facebook,12000.00,3339802,3.59,28252,0.845918410732133,993509,,,0.44,,,,,,,,,,,,,,
GMD_Report_Apparel_Skechers_2017-W48,Skechers,,ksa,consideration,facebook,13500.00,9395776,1.44,59280,0.630921809970778,1981724,,,0.23,,,,,,,,,,,,,,
GMD_Report_Apparel_Skechers_2017-W48,Skechers,,kwt,consideration,facebook,7000.00,3218433,2.17,20544,0.638323059700171,678014,,,0.34,,,,,,,,,,,,,,
GMD_Report_Apparel_Skechers_2017-W48,Skechers,,omn,consideration,facebook,2800.00,1162404,2.41,5848,0.503095309376086,333707,,,0.48,,,,,,,,,,,,,,
GMD_Report_Apparel_Skechers_2017-W48,Skechers,,bah,consideration,facebook,4000.00,1667113,2.40,8457,0.507284149304816,341547,,,0.47,,,,,,,,,,,,,,
GMD_Report_Riot Games_Valorant_Filter_20220727,Riot Games,Valrant filter,uae,branding,facebook,4304.06,508621,8.46,5575,1.09610102610785,204572,66510,,0.77,,,,,,,,,,,,,,
GMD_Report_Riot Games_Valorant_Filter_20220727,Riot Games,Valrant filter,ksa,branding,facebook,4137.39,330171,12.53,6154,1.86388265474557,330171,80737,,0.67,,,,,,,,,,,,,,
GMD_Report_Riot Games_Valorant_Filter_20220727,Riot Games,Valrant filter,egy,branding,facebook,4562.12,38848,117.44,3808,9.80230642504119,38848,61294,,1.2,,,,,,,,,,,,,,
GMD_Report_Riot Games_Valorant_Filter_20220727,Riot Games,Valrant filter,mar,branding,facebook,4632.99,717168,6.46,12770,1.7806148629052,717168,214364,,0.36,,,,,,,,,,,,,,
GMD_Report_BR_20221024,Banana Republic,Football campaign,uae,branding,display,3500.90,1750449,2.00,3957,0.226056286130016,,,,,,,,,,,,,,,,,,
GMD_Report_BLM_HomeEid_20220505,Bloomingdales,Home Eid,uae,branding,display,4403.98,5010704,0.88,5447,0.10870727945614,,,,,,,,,,,,,,,,,,
GMD_Report_Bio-Oil_Phase1_20220428,Bio-Oil,Phase 1,uae,consideration,snapchat,1200.00,4122438,0.29,156136,3.78746751315605,,,,0.01,,,,,,,,,,,,,,
GMD_Report_AF_20230313,AF,Burst 1 ,uae,consideration,facebook,3493.00,1215940,2.87,14267,1.1733309209336,,51529,,0.29,,,,,,,,,,,,,,
GMD_Report_AF_20230313,AF,Burst 1 ,uae,branding,linkedin,850.00,88131,9.64,247,0.280264606097741,,,,3.44,,,,,,,,,,,,,,
